timestamp,user_id,operation,file_type,file_size,success,signup_date,subscription_type,storage_limit,country,hour
1/1/2024 1:07,20,3,1,5781047.168,TRUE,11/9/2023,0,1E+12,5,1
1/1/2024 1:26,79,3,1,1235795.76,TRUE,11/11/2023,1,5000000000,4,1
1/1/2024 2:20,87,1,3,1000,TRUE,29/12/2023,0,1E+12,5,2
1/1/2024 3:06,25,3,2,3231408.304,TRUE,20/2/2023,2,1E+11,0,3
1/1/2024 3:20,45,3,2,10390786.23,TRUE,2/3/2023,2,1E+11,3,3
1/1/2024 3:25,24,0,1,6335589.26,TRUE,12/7/2023,1,5000000000,0,3
1/1/2024 4:16,71,0,2,7645233.059,TRUE,13/9/2023,1,5000000000,4,4
1/1/2024 4:43,56,1,1,3961364.914,TRUE,16/11/2023,1,5000000000,2,4
1/1/2024 4:44,44,0,1,5411027.094,TRUE,29/4/2023,1,5000000000,4,4
1/1/2024 4:50,47,1,1,5922626.306,TRUE,11/1/2023,2,1E+11,4,4
1/1/2024 5:03,75,1,3,63540095.99,TRUE,4/4/2023,2,1E+11,4,5
1/1/2024 5:03,33,3,1,6060448.344,TRUE,20/5/2023,2,1E+11,1,5
1/1/2024 5:04,24,0,2,6053491.473,TRUE,12/7/2023,1,5000000000,0,5
1/1/2024 5:04,23,3,3,22756064.6,TRUE,28/7/2023,1,5000000000,5,5
1/1/2024 5:12,99,3,1,3679106.771,TRUE,12/11/2023,2,1E+11,4,5
1/1/2024 5:13,74,0,2,7304155.995,TRUE,12/8/2023,1,5000000000,2,5
1/1/2024 5:17,63,1,3,90539568.46,TRUE,15/12/2023,1,5000000000,5,5
1/1/2024 5:19,6,1,1,8764363.033,TRUE,28/9/2023,1,5000000000,4,5
1/1/2024 5:20,42,3,2,4886841.446,FALSE,25/9/2023,0,1E+12,4,5
1/1/2024 5:20,64,1,0,19478278.45,TRUE,5/12/2023,1,5000000000,4,5
1/1/2024 5:25,54,3,3,5494924.059,TRUE,14/11/2023,1,5000000000,5,5
1/1/2024 5:34,67,3,2,9662091.172,TRUE,26/8/2023,2,1E+11,5,5
